name;open;high;low;close;volume;marketCap;timestamp
"2781";119647.9388533854;119829.1687322761;119205.4685671806;119229.5343748855;72553495853.09;2373416515148.46;"2025-08-12T17:00:00.000Z"
"2781";119235.5192146476;120032.3927920499;119235.5192146476;119317.4337988276;71894563763.55;2374994000492.71;"2025-08-12T18:00:00.000Z"
"2781";119314.7688039522;119962.5966443077;119314.1116520035;119686.0280562621;72070687823.97;2382282134196.08;"2025-08-12T19:00:00.000Z"
"2781";119680.9095132129;120302.4706699823;119506.9667680999;120193.2641283233;72852509185.42;2392491158522.54;"2025-08-12T20:00:00.000Z"
"2781";120193.7897044777;120197.9411424139;119814.2697228881;119815.2935587613;72463193003.43;2385169676798.73;"2025-08-12T21:00:00.000Z"
"2781";119825.9736598909;120057.4696329326;119630.4559127658;120041.3023212501;73457279356.65;2389630511826.14;"2025-08-12T22:00:00.000Z"
"2781";120050.0767523019;120251.931036628;119890.7343370684;120172.9070599404;72803657984.3;2391997268648.95;"2025-08-12T23:00:00.000Z"
"2781";120168.977702397;120168.977702397;119634.2388647797;119683.1851992414;73457581728.05;2382462350622.98;"2025-08-13T00:00:00.000Z"
"2781";119689.9632124246;119697.5606507594;119335.7968161044;119464.4479014664;72544183784.2;2377956383618.32;"2025-08-13T01:00:00.000Z"
"2781";119463.5927831573;119703.0134895467;119080.0242193799;119530.5484030577;74139828434.56;2379260106269.42;"2025-08-13T02:00:00.000Z"
"2781";119529.0891030079;119597.2776014312;119284.3490840334;119477.0799261312;74299590471.8;2378213721258.07;"2025-08-13T03:00:00.000Z"
"2781";119476.5208920217;119796.8957433583;119317.1149332385;119339.154166455;75171509956.2;2375667808150.56;"2025-08-13T04:00:00.000Z"
"2781";119348.6195020587;119664.3188603988;118948.3499032615;118999.2507351249;73989742993.6;2368697961911.44;"2025-08-13T05:00:00.000Z"
"2781";118998.468894332;119403.4470542806;118939.6312946595;119400.213509744;74621616024.62;2376693527869.13;"2025-08-13T06:00:00.000Z"
"2781";119400.1495316308;119615.0793066301;119273.4187520841;119615.0793066301;74173719311.72;2381009778423.02;"2025-08-13T07:00:00.000Z"
"2781";119616.9890002062;119996.3995682384;119456.6344750989;119975.725050959;73879202328.69;2388246578164.45;"2025-08-13T08:00:00.000Z"
"2781";119980.5507977731;120139.7771741267;119776.9413956978;120139.7771741267;75329904885.74;2391472660969.51;"2025-08-13T09:00:00.000Z"
"2781";120142.6225015114;120483.0172848447;120042.3006332438;120460.809319233;76459148593.18;2398130671551.73;"2025-08-13T10:00:00.000Z"
"2781";120477.1071331134;120707.9395149235;120424.5597779264;120608.1249330707;77126798659.11;2400720080902.33;"2025-08-13T11:00:00.000Z"
"2781";120605.2426998732;120653.4392406188;120220.2443537829;120255.1458121929;74461086308.61;2393843145227.31;"2025-08-13T12:00:00.000Z"
"2781";120258.7865991239;121985.4078647207;120109.0589347983;121730.1608733082;76645494804.16;2422853498875.77;"2025-08-13T13:00:00.000Z"
"2781";121716.0916230337;122194.5674013031;120781.3858087218;121009.6880280353;80249317063.23;2409053221555.16;"2025-08-13T14:00:00.000Z"
"2781";121022.6778906226;121334.429315567;120361.514050012;120966.0583517541;82101083305.31;2407783341642.68;"2025-08-13T15:00:00.000Z"
"2781";120924.991971823;121698.4095009808;120924.991971823;121405.4948357188;0;0;"2025-08-13T16:00:00Z"
